Designator,Mid X,Mid Y,Rotation,Layer
BT401,104.08,-100.0,0.0,bottom
C101,119.0,-97.75,90.0,top
C102,106.5,-93.25,90.0,top
C201,97.02,-80.75,0.0,top
C202,103.0,-80.75,0.0,top
C203,139.0,-80.75,0.0,top
C204,133.0,-80.75,0.0,top
C205,109.0,-80.75,0.0,top
C206,115.0,-80.75,0.0,top
C207,121.0,-80.75,0.0,top
C208,127.0,-80.75,0.0,top
C209,76.75,-98.5,270.0,top
C301,82.25,-109.75,90.0,top
C302,135.95,-85.15,90.0,top
C401,57.75,-90.499999,90.0,top
C402,65.85,-86.55,0.0,top
C403,66.05,-84.55,270.0,top
C404,71.0,-80.0,270.0,top
C405,72.35,-80.0,270.0,top
C406,75.000002,-79.999999,270.0,top
C407,80.75,-83.25,270.0,top
C408,73.500001,-87.999999,270.0,top
C409,53.0,-94.499999,270.0,top
C410,55.250001,-94.5,270.0,top
C411,62.25,-93.5,90.0,top
C412,63.25,-95.999998,0.0,top
C413,65.9,-94.95,90.0,top
C414,71.75,-96.5,270.0,top
C415,71.75,-107.249999,90.0,top
C416,137.25,-111.25,180.0,top
C417,86.5,-93.25,0.0,top
C418,88.5,-91.25,0.0,top
C419,142.0,-113.0,180.0,top
C420,86.5,-95.25,0.0,top
C421,91.5,-91.25,180.0,top
C422,98.0,-105.75,90.0,top
C423,136.5,-109.25,90.0,top
C424,141.25,-116.25,0.0,top
C425,135.0,-109.25,90.0,top
C426,132.25,-120.25,90.0,top
D101,120.75,-107.25,0.0,top
D102,120.75,-105.75,0.0,top
D201,109.25,-94.25,270.0,top
D202,75.0,-113.75,180.0,top
D203,62.75,-116.0,270.0,top
D401,63.0,-82.75,270.0,top
D402,130.75,-123.25,90.0,top
D403,129.25,-123.25,90.0,top
D404,111.5,-117.75,180.0,top
D405,99.75,-105.75,270.0,top
D406,80.75,-92.25,0.0,top
D407,66.0,-91.0,0.0,top
D408,96.75,-95.25,0.0,top
J102,58.6825,-82.305,270.0,top
J103,94.0,-119.9425,180.0,bottom
J104,74.25,-119.9425,180.0,bottom
J201,88.59,-100.4,90.0,top
J202,97.0,-82.7,180.0,bottom
J203,103.0,-82.7,180.0,bottom
J204,139.0,-82.7,180.0,bottom
J205,133.0,-82.7,180.0,bottom
J206,109.0,-82.7,180.0,bottom
J207,115.0,-82.7,180.0,bottom
J208,121.0,-82.700001,180.0,bottom
J209,127.0,-82.7,180.0,bottom
J210,58.6825,-113.055,270.0,top
L401,59.0,-102.499999,0.0,top
L402,90.25,-88.25,0.0,top
L403,142.0,-110.75,0.0,top
P101,122.75,-122.75,0.0,top
Q201,87.5,-105.75,270.0,top
Q202,66.75,-114.5,90.0,top
Q401,68.25,-81.17,270.0,top
Q402,95.5,-105.75,270.0,top
Q403,106.5,-117.25,90.0,top
Q404,133.5,-123.0,180.0,top
R102,123.785,-107.25,180.0,top
R103,123.785,-105.75,180.0,top
R104,118.0,-97.75,270.0,top
R105,92.5,-105.75,270.0,top
R106,91.0,-105.75,270.0,top
R107,106.5,-95.5,90.0,top
R108,83.75,-109.75,90.0,top
R201,89.75,-105.75,270.0,top
R202,72.25,-113.75,0.0,top
R203,81.5,-103.0,0.0,top
R204,77.0,-103.25,270.0,top
R205,79.5,-103.0,0.0,top
R301,79.0,-113.75,180.0,top
R402,53.0,-89.75,270.0,top
R403,61.0,-90.499999,90.0,top
R404,71.250001,-85.999999,270.0,top
R405,56.75,-90.499998,270.0,top
R406,75.500001,-85.999999,270.0,top
R407,75.500001,-87.999999,270.0,top
R408,65.0,-110.05,270.0,top
R409,72.250001,-85.999999,270.0,top
R410,71.250001,-87.999999,270.0,top
R411,63.5,-91.5,90.0,top
R412,72.250001,-87.999999,270.0,top
R413,73.500001,-79.999999,90.0,top
R414,74.500001,-85.999999,270.0,top
R415,74.500001,-87.999999,90.0,top
R416,62.25,-90.499999,270.0,top
R417,60.0,-90.499998,270.0,top
R418,59.0,-90.5,270.0,top
R419,63.5,-93.5,90.0,top
R420,130.25,-119.75,270.0,top
R421,129.25,-119.75,270.0,top
R423,85.25,-89.75,180.0,top
R424,94.5,-91.25,0.0,top
R425,93.75,-93.0,270.0,top
R427,84.25,-95.0,90.0,top
R428,93.75,-95.0,90.0,top
R429,133.0,-114.25,0.0,top
R430,94.75,-95.0,270.0,top
R431,92.75,-95.0,270.0,top
R432,86.5,-96.25,180.0,top
R433,86.5,-94.25,180.0,top
R434,92.75,-93.0,90.0,top
R435,141.5,-118.25,180.0,top
R436,126.5,-99.75,180.0,top
R437,138.25,-118.250001,270.0,top
R439,133.0,-115.75,180.0,top
R440,136.25,-118.250002,270.0,top
R441,135.25,-118.25,270.0,top
R442,137.25,-118.250003,270.0,top
R444,80.75,-89.5,0.0,top
R445,68.5,-91.0,180.0,top
R446,94.75,-93.0,270.0,top
R447,133.25,-120.25,270.0,top
R448,134.25,-120.25,270.0,top
R449,123.75,-108.75,180.0,top
SW101,121.25,-98.75,90.0,top
SW102,104.0,-94.25,90.0,top
SW201,98.75,-87.5,270.0,top
SW202,102.75,-87.5,270.0,top
SW203,126.75,-87.5,270.0,top
SW204,122.75,-87.5,270.0,top
SW205,106.75,-87.5,270.0,top
SW206,110.75,-87.5,270.0,top
SW207,114.75,-87.5,270.0,top
SW208,118.75,-87.5,270.0,top
SW401,109.25,-122.25,0.0,top
U101,109.25,-105.65,0.0,top
U201,80.0,-98.5,0.0,top
U301,79.0,-108.75,180.0,top
U302,139.67,-95.499999,270.0,top
U401,59.0,-94.249999,0.0,top
U402,74.25,-83.0,90.0,top
U403,68.55,-85.15,270.0,top
U404,90.0,-94.25,0.0,top
U405,136.75,-114.5,0.0,top
