Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104, C105, C201, C301, C601, C613, C614, C617, C620, C621",0402,13,100n,
"C602, C603, C606, C615, C618",1206,5,10u,
"C604, C609, C622, C623",0603,4,1u,
C605,0603,1,2u2,
"C607, C608, C612",CP_Elec_8x10,3,150u,
C610,0402,1,10n,
C611,0402,1,1n,
"C616, C619",0603,2,10u,
"D101, D102, D201, D203, D401, D402, D403, D404, D405, D406, D407, D501, D502, D503, D504, D505, D506, D507, D605, D606, D607, D608",0603,22,LED,
"D202, D204",D_SMA,2,SS54,
"D601, D602",D_SOD-323,2,1N5819WS,
"D603, D604",D_SMA,2,SMAJ24CA,
J101,RJ45_Amphenol_RJHSE5380,1,RJ45,
J102,"PhoenixContact_MC_1,5_6-G-3.5_1x06_P3.50mm_Horizontal",1,Screw Terminal 3.5mm,
J103,PinHeader_1x08_P2.54mm_Vertical,1,01x08_Pin,
"J201, J202","PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",2,Term 3.5mm,
"J401, J402, J403, J404, J405, J406, J407, J501, J502, J503, J504, J505, J506, J507",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,14,XH 2P,
L601,L_Bourns_SRP1050WA,1,6.8uH,
"L602, L603",L_Changjiang_FNR4030S,2,33uH,
P101,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,USB_C_Plug_USB2.0,
Q101,SOT-23,1,2N7002,
"Q201, Q202, Q401, Q402, Q403, Q404, Q405, Q406, Q407, Q501, Q502, Q503, Q504, Q505, Q506, Q507, Q601, Q602",VSON-8_3.3x3.3mm_P0.65mm_NexFET,18,DOZ35N06,
"R101, R102, R104, R105, R106, R109, R609, R610, R618, R619, R629",0402,11,1k8,
"R107, R108, R203, R204, R401, R402, R403, R404, R405, R406, R407, R501, R502, R503, R504, R505, R506, R507, R612, R615, R628",0402,21,4k3,
"R110, R603, R604, R606, R607, R622, R626",0402,7,18k,
"R202, R602, R608",1206,3,0R,
R301,0805,1,120R,
"R302, R620, R623",0603,3,0R,
R605,0402,1,2R2,
"R611, R621, R624",0402,3,82k,
"R613, R614",0402,2,200k,
R616,0402,1,0R,
R617,0402,1,680R,
"R625, R627",0402,2,11k,
"SW101, SW102, SW103, SW104",SW_Push_4x3mm,4,SW_4x3mm,
U101,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,1,TMP1075DSGR,
U102,ESP32-S3-MINI-1U,1,ESP32-S3-MINI-1U-N8,
U201,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,1,PCA9685BS,
U301,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN-L/TR,
U302,E220-400M22S,1,E220-400M22S,
U601,Vishay_PowerPAK_MLP44-24L_ThermalVias,1,SIC438BED-T1-GE3,
U602,RPW0010A_VQFN-HR-10,1,TPS259474ARPWR,
"U603, U604",SOT-23-6,2,TPS54202DDC,
"U605, U606",SOT-23-6,2,LM74700,
